,Major Category,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011
0,Arson and Criminal Damage,4648,4530,4346,4931,4654,4835,4639,4825,4522,4465,4767,4487,4508,4388,4312,4333,3463,3884,4324,4682,4692,4296,4311,4159
1,Burglary,7131,7436,6658,7203,6290,6382,6344,6293,6137,6488,7260,7072,6810,6968,6284,5338,3644,3879,4296,4937,4987,5180,5632,5186
2,Drug Offences,3226,3439,3399,4346,3630,3827,4014,4492,4763,3906,3923,3950,3412,4618,4110,3896,5197,6669,4816,4726,3663,3620,4161,4361
3,Miscellaneous Crimes Against Society,805,842,870,983,884,992,923,955,857,915,946,946,862,925,829,891,814,871,923,936,835,1012,837,968
4,Possession of Weapons,604,629,643,810,546,627,550,572,606,542,589,554,523,688,517,558,497,597,503,514,506,533,517,507
5,Public Order Offences,3629,3444,3600,4351,3991,4417,4515,5132,4532,4304,4506,4245,4015,4140,3951,3975,3472,4247,4941,5663,5477,5204,4614,4203
6,Robbery,2950,2919,2960,3155,3369,3250,3103,3354,3015,3259,3656,3764,3309,3313,3174,2681,1093,1289,1687,2165,2484,2572,2446,2267
7,Theft,19183,18901,19629,21176,21202,21375,20847,22210,20327,19351,21714,20920,19956,18714,19552,14698,7239,8906,11438,15077,16075,16534,16793,12933
8,Vehicle Offences,9534,10780,9606,10706,10026,9824,9845,10131,10004,11083,11786,11142,10840,12004,10640,9386,6313,7208,8051,8943,8864,10099,10545,9118
9,Violence Against the Person,17658,17108,16526,18402,17178,18504,18735,19931,18254,18111,18519,18567,17966,17761,16944,17362,15285,17599,18810,20012,20214,19333,18369,17823
