,Major Category,200801,200802,200803,200804,200805,200806,200807,200808,200809,200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,200908,200909,200910,200911,200912,201001,201002,201003,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812
0,Burglary,8839,7661,7891,7218,7285,7395,7402,7570,6964,7593,8140,8832,9095,7476,8586,7698,7981,7992,8013,7440,7619,7838,8095,7401,7299,7471,7951,7173,7190,7195,7147,7247,7431,7910,8910,7961,9060,7803,8366,7635,8245,7372,7488,8267,7111,7925,8353,8754,8726,7666,8680,7568,7363,7533,7137,7302,6928,8002,8799,8141,8491,7796,7620,7151,6871,6568,6645,6614,6713,7498,8050,7649,7941,6806,6753,5940,5875,5391,5716,5893,5779,6491,6879,6817,6527,5979,6346,5440,5569,5297,5403,5375,5428,5951,6789,6468,6311,5842,5813,5342,5409,5390,5404,5414,5294,5490,6075,6619,7696,7155,7624,7075,7125,6778,7328,7393,7085,7878,8538,8083,9015,7801,7638,7626,7549,7284,7436,7795,7346,8483,9187,8479
1,Criminal Damage,8590,8192,8349,8628,8797,8491,8351,7950,7815,7961,7460,7087,7304,6993,8324,8349,8791,8114,7850,7529,7346,7159,6970,6093,6290,6075,7642,7635,7379,7571,7528,6824,6619,6784,6602,5410,5937,5571,6417,6594,6815,6347,6425,7176,5772,5964,5756,5349,5676,5110,5867,5203,5711,5510,5360,5440,4642,4786,4994,4474,4620,4597,4524,4856,5003,4992,5074,4855,4412,4640,4626,4515,4490,4268,4878,4742,4984,5127,5188,4939,5110,5517,5304,5048,4851,4643,5385,5310,5557,5486,5625,5179,4928,5408,5447,5431,5067,5036,5107,5241,5991,5366,5814,5615,5243,5497,5123,5310,5064,4963,5465,5281,5632,5507,5657,5351,5106,5596,5330,4876,5082,4405,4749,4939,5164,5006,5224,4737,4638,5005,4888,4829
2,Drugs,5947,6854,6548,5815,6659,6161,6978,6690,6519,7108,6810,5681,5900,5632,6485,4615,5187,5956,6573,5730,5377,6291,5925,4816,5612,5568,5800,5240,5301,5244,5926,6444,5487,5837,5126,3661,5121,5083,5536,4593,5308,5561,6387,5553,4891,5112,5126,4269,5212,4438,4939,3893,4122,4552,4759,5102,4313,4107,4267,3897,4568,4185,4549,4108,4393,4093,4527,4439,3926,4650,4718,3767,4145,3753,4485,3997,4070,3883,3810,3648,3284,3769,3748,3193,3750,3370,3305,3179,3146,3352,3590,3547,3439,3700,3307,3097,3889,3443,3392,3494,3378,3111,3499,3530,3205,3283,2947,2692,3111,2729,3413,2885,3194,2858,3263,3399,3101,3453,3188,2609,3074,2813,2803,2981,3048,2686,2607,3315,2951,3061,3208,3096
3,Fraud or Forgery,2874,2860,2869,3323,2949,3341,3752,3325,3368,3517,3146,2668,3090,2656,3426,3047,2840,3248,3205,2918,3316,3272,3077,2828,3244,3233,3629,3110,3158,3238,3389,3115,3205,3203,3204,2721,3152,3035,3220,2797,3122,3082,3238,3314,2793,3016,3063,2044,2128,2180,2663,2427,2614,2525,2793,2757,2566,2842,3073,2406,2583,380,124,71,84,60,87,84,79,66,70,57,90,115,75,77,78,63,87,63,69,84,74,78,97,85,73,90,49,59,69,86,86,96,108,83,124,97,98,108,98,68,69,102,70,85,109,103,149,110,132,130,134,103,121,106,123,120,131,96,96,94,107,115,118,96,102,96,106,79,115,97
4,Other Notifiable Offences,892,860,925,881,887,1050,1000,939,977,948,975,798,949,835,1077,986,972,1020,1037,1004,986,946,930,795,890,947,1097,967,1020,997,1069,917,959,946,926,783,877,826,940,852,961,981,1020,963,858,811,851,849,870,895,1054,777,926,850,942,1380,963,929,907,779,771,870,946,905,911,902,984,964,930,1015,937,851,953,938,1066,1016,1083,994,1227,1030,1211,1143,1146,1054,1038,1058,1129,1114,1115,1233,1269,1199,1264,1238,1175,1132,1245,1135,1243,1273,1508,1392,1422,1376,1287,1349,1174,1116,1323,1307,1503,1248,1439,1496,1470,1441,1364,1515,1446,1221,1335,1233,1525,1386,1577,1471,1810,1419,1428,1561,1403,1310
5,Robbery,3157,2723,2878,2844,2775,2739,2645,2502,2476,2843,2845,2537,2837,2614,2897,2835,3048,2779,2697,2500,2511,2860,2574,2563,2780,2885,3443,2990,3257,2924,2787,2481,2722,2922,2988,2884,3351,3188,3359,3380,3836,3435,3577,3137,2744,3140,3398,2928,3027,2883,3426,3071,3108,3087,3087,2773,2776,2936,3137,2963,2775,2386,2640,2314,2457,2445,2741,2652,2526,2517,2460,2086,2211,1920,1923,1768,1851,1878,1726,1774,1764,1980,1911,1878,1815,1673,1887,1807,1918,1742,1820,1786,1748,1842,1887,1785,1835,1664,1735,1594,1815,1914,1999,1946,2028,2069,2011,2279,2052,1932,2557,2498,2481,2508,2942,2727,2765,3058,3159,2826,2886,2490,2601,2554,2607,2895,2971,2548,2648,2927,3042,3000
6,Sexual Offences,745,711,788,724,786,852,847,735,711,699,635,617,680,644,779,739,772,872,909,792,872,847,813,756,756,779,990,832,938,903,972,757,837,842,850,683,856,781,931,797,946,937,947,789,875,896,896,681,807,731,840,754,861,776,883,796,734,954,931,776,888,730,747,764,993,910,1045,958,910,910,914,973,1053,867,1058,1041,1088,1195,1323,1297,1307,1392,1236,1137,1246,1159,1400,1172,1353,1359,1474,1288,1248,1357,1447,1327,1351,1358,1492,1365,1558,1484,1646,1394,1478,1492,1419,1410,1403,1391,1735,1442,1711,1814,1781,1656,1689,1797,1849,1490,1664,1524,1691,1589,1816,1861,2016,1649,1731,1775,1726,1479
7,Theft and Handling,26692,25493,26283,26271,26311,26475,27514,25235,25344,28163,26620,24643,24698,23057,26691,25962,27019,27225,27762,25013,25177,26932,26066,24122,23161,23764,28300,26986,27293,27998,28318,25932,27440,28620,27757,23009,25579,24934,28334,27103,30283,29491,28692,25882,25537,28225,28781,26434,27728,25212,31434,26933,30151,28484,29260,27887,25615,29156,28955,26920,26844,25602,26145,25437,25328,25926,27176,25954,25039,27164,25118,23076,23390,21824,24504,22768,23474,23471,23735,22719,23255,24632,23779,23404,23060,21331,24543,23254,24911,24758,24400,22709,22664,24570,24815,24123,22384,22129,23228,23282,25518,24849,26019,25360,25213,26442,25554,25869,23152,22966,27117,25360,27676,26403,28124,27684,26610,27394,27529,25075,25722,23836,24880,25084,26031,26083,27422,26374,26617,29135,29116,27719
8,Violence Against the Person,13828,13208,14408,13690,15900,15971,16332,14534,13835,14514,14150,13212,13565,13039,15182,14185,15724,15762,15316,15007,14165,14762,14282,13313,13514,13063,15157,14394,15482,15694,16022,13880,13684,13867,12949,11857,12667,11924,13207,13364,13573,13583,13934,12810,12453,13263,12610,11728,11975,11200,13124,12111,13807,13120,13726,13672,12455,12561,12161,12098,11539,10448,11746,11542,12436,12575,14190,12662,11955,13078,12924,12812,12880,12185,14512,13707,15478,16582,17538,15925,16864,17433,17248,16512,16307,15589,17823,16725,19146,19335,19942,18660,18486,20068,19429,19275,18428,17816,19050,18850,20859,20682,22014,20022,19795,19863,18674,19046,18262,17966,21428,19635,21963,22944,23286,20490,20367,22253,20958,19698,20051,18119,21148,20572,23420,23142,25050,21238,21294,21955,21564,21533
