,borough_NM,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
0,Barking and Dagenham,-34.121212121212125,-5.545454545454546,22.272727272727273,-35.515151515151516,-32.06060606060606,11.666666666666666
1,Barnet,-42.666666666666664,-11.090909090909092,36.60606060606061,-47.45454545454545,-42.15151515151515,16.575757575757574
2,Bexley,-43.75757575757576,-6.878787878787879,25.696969696969695,-47.60606060606061,-38.39393939393939,15.212121212121213
3,Brent,-43.84848484848485,-5.787878787878788,53.54545454545455,-42.36363636363637,-39.96969696969697,14.515151515151516
4,Bromley,-44.78787878787879,-7.878787878787879,14.545454545454545,-47.96969696969697,-41.21212121212121,17.575757575757574
5,Camden,-74.87878787878788,-36.96969696969697,-5.818181818181818,-71.12121212121212,-51.36363636363637,20.575757575757574
6,City of London,-86.12121212121212,-67.15151515151516,-82.87878787878788,-76.60606060606061,-64.95652173913044,
7,Croydon,-47.484848484848484,-5.121212121212121,35.0,-50.484848484848484,-35.24242424242424,15.393939393939394
8,Ealing,-37.93939393939394,-8.909090909090908,31.848484848484848,-47.121212121212125,-39.515151515151516,15.606060606060606
9,Enfield,-38.24242424242424,-6.878787878787879,13.93939393939394,-41.27272727272727,-34.84848484848485,13.93939393939394
10,Greenwich,-47.84848484848485,-7.606060606060606,-1.7272727272727273,-43.18181818181818,-44.96969696969697,16.454545454545453
11,Hackney,-56.21212121212121,-7.96969696969697,31.060606060606062,-53.484848484848484,-46.78787878787879,18.181818181818183
12,Hammersmith and Fulham,-64.21212121212122,-25.757575757575758,8.878787878787879,-55.878787878787875,-52.75757575757576,19.78787878787879
13,Haringey,-44.515151515151516,-14.272727272727273,19.606060606060606,-49.84848484848485,-48.09090909090909,16.848484848484848
14,Harrow,-43.666666666666664,-7.2727272727272725,50.75757575757576,-42.90909090909091,-34.878787878787875,15.333333333333334
15,Havering,-44.81818181818182,-9.06060606060606,2.787878787878788,-42.39393939393939,-36.484848484848484,14.636363636363637
16,Hillingdon,-43.21212121212121,-8.090909090909092,49.54545454545455,-67.51515151515152,-35.09090909090909,14.93939393939394
17,Hounslow,-38.03030303030303,-9.848484848484848,21.757575757575758,-43.09090909090909,-38.18181818181818,14.636363636363637
18,Islington,-68.60606060606061,-18.636363636363637,22.78787878787879,-64.15151515151516,-53.09090909090909,21.939393939393938
19,Kensington and Chelsea,-67.63636363636364,-11.121212121212121,-12.181818181818182,-62.484848484848484,-49.21212121212121,18.606060606060606
20,Kingston upon Thames,-54.24242424242424,-16.78787878787879,52.0,-48.39393939393939,-44.60606060606061,18.12121212121212
21,Lambeth,-57.18181818181818,-12.909090909090908,0.030303030303030304,-60.84848484848485,-45.81818181818182,19.848484848484848
22,Lewisham,-39.0,-3.0303030303030303,43.666666666666664,-47.21212121212121,-45.78787878787879,18.060606060606062
23,Merton,-49.45454545454545,-14.757575757575758,13.151515151515152,-49.93939393939394,-43.81818181818182,17.181818181818183
24,Newham,-51.45454545454545,-13.181818181818182,112.18181818181819,-48.60606060606061,-40.84848484848485,14.515151515151516
25,Redbridge,-38.18181818181818,-8.969696969696969,0.8181818181818182,-45.96969696969697,-39.36363636363637,14.787878787878787
26,Richmond upon Thames,-48.36363636363637,-5.757575757575758,27.757575757575758,-53.484848484848484,-50.81818181818182,19.03030303030303
27,Southwark,-57.484848484848484,-16.060606060606062,-15.606060606060606,-58.93939393939394,-47.81818181818182,19.09090909090909
28,Sutton,-40.72727272727273,-9.303030303030303,34.303030303030305,-52.45454545454545,-42.78787878787879,15.969696969696969
29,Tower Hamlets,-58.333333333333336,-22.757575757575758,-28.272727272727273,-62.90909090909091,-53.03030303030303,20.78787878787879
30,Waltham Forest,-34.666666666666664,-4.515151515151516,21.333333333333332,-48.15151515151515,-43.303030303030305,15.696969696969697
31,Wandsworth,-50.90909090909091,-12.909090909090908,25.727272727272727,-52.81818181818182,-47.60606060606061,21.303030303030305
32,Westminster,-80.6969696969697,-44.21212121212121,-56.72727272727273,-72.48484848484848,-54.696969696969695,19.90909090909091
